Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"De'Aaron Fox",21.8,SAC,Point,1250,89,"32.9%",52,109.7,76,"34.3%",33,1.04,52,"13.3%"
"Tim Frazier",28.9,DET,Point,310,35,"22.6%",7,93.6,96,"37.9%",96,1.68,0,"20.5%"
"Markelle Fultz",21.4,ORL,Combo,1651,67,"23.4%",43,103.9,79,"26.7%",80,1.14,23,"14.1%"
"Daniel Gafford",21.0,CHI,Big,491,17,"12.7%",89,134.0,8,"5.0%",17,0.39,22,"16.0%"
"Danilo Gallinari",31.2,OKC,Big,1559,90,"22.9%",76,124.0,69,"10.6%",32,0.46,91,"8.5%"
"Langston Galloway",27.8,DET,Wing,1527,32,"13.8%",85,121.0,36,"9.0%",53,0.65,88,"7.2%"
"Darius Garland",19.7,CLE,Combo,1761,62,"21.6%",21,98.3,39,"18.0%",43,0.83,10,"16.5%"
"Marc Gasol",34.7,TOR,Big,966,35,"14.1%",31,109.8,92,"16.5%",99,1.17,46,"13.9%"
"Rudy Gay",33.2,SAS,Big,1149,81,"20.6%",24,108.1,78,"12.2%",58,0.59,54,"13.3%"
"Paul George",29.5,LAC,Wing,1064,97,"30.6%",72,116.0,94,"20.9%",60,0.68,22,"13.7%"
"Taj Gibson",34.3,NYK,Big,914,29,"13.7%",71,122.6,44,"8.1%",57,0.59,44,"14.2%"
"Harry Giles",21.5,SAC,Big,461,76,"19.5%",47,115.1,86,"13.8%",76,0.71,40,"14.4%"
"Shai Gilgeous-Alexander",21.3,OKC,Wing,2096,90,"24.5%",56,111.7,73,"13.9%",38,0.57,65,"9.9%"
"Rudy Gobert",27.3,UTA,Big,1972,40,"15.0%",94,137.3,26,"6.6%",26,0.44,15,"17.2%"
"Brandon Goodwin",24.0,ATL,Combo,351,77,"24.1%",44,104.2,59,"20.7%",51,0.86,52,"12.2%"
"Aaron Gordon",24.1,ORL,Forward,1772,85,"21.0%",36,103.7,85,"15.8%",78,0.75,70,"10.2%"
"Eric Gordon",30.8,HOU,Wing,896,75,"20.5%",36,105.7,27,"7.9%",9,0.39,87,"7.4%"
"Devonte' Graham",24.6,CHA,Point,2009,74,"27.7%",37,107.4,83,"34.9%",74,1.26,57,"13.2%"
"Treveon Graham",26.0,ATL,Forward,161,13,"12.4%",12,95.5,16,"6.0%",37,0.49,42,"12.6%"
"Treveon Graham",26.0,MIN,Forward,626,18,"13.1%",4,86.9,18,"6.2%",31,0.47,79,"9.7%"
"Jerami Grant",25.6,DEN,Big,1487,51,"16.1%",53,117.0,22,"6.3%",19,0.39,92,"8.4%"
"Danny Green",32.3,LAL,Wing,1391,22,"12.8%",67,114.6,17,"6.8%",30,0.53,46,"11.7%"
"Draymond Green",29.6,GSW,Forward,1219,73,"18.8%",19,98.6,99,"31.0%",100,1.65,4,"18.3%"
"JaMychal Green",29.3,LAC,Big,974,12,"11.9%",19,106.7,5,"4.7%",17,0.39,59,"13.2%"
"Javonte Green",26.2,BOS,Wing,288,19,"12.5%",62,113.2,18,"6.8%",34,0.54,6,"15.6%"
"Jeff Green",33.1,UTA,Forward,546,70,"18.3%",42,106.9,13,"5.9%",6,0.32,54,"11.5%"
"Blake Griffin",30.6,DET,Big,512,99,"29.2%",6,95.5,96,"18.5%",65,0.63,74,"11.7%"
"Marko Guduric",24.6,MEM,Wing,390,57,"17.2%",22,102.3,65,"12.1%",69,0.70,2,"20.1%"
"Rui Hachimura",21.7,WAS,Big,1017,68,"17.9%",33,110.5,38,"7.8%",26,0.43,94,"7.9%"
"Tim Hardaway Jr.",27.6,DAL,Wing,1585,72,"20.1%",78,117.5,51,"10.3%",27,0.51,91,"7.1%"
"James Harden",30.1,HOU,Combo,2055,100,"39.7%",97,126.7,97,"35.2%",56,0.89,48,"12.6%"
"Maurice Harkless",26.4,LAC,Forward,1122,0,"9.6%",75,117.0,7,"5.6%",60,0.58,7,"16.5%"
"Maurice Harkless",26.4,NYK,Wing,144,14,"11.7%",88,121.6,22,"7.5%",50,0.64,69,"9.8%"
"Montrezl Harrell",25.7,LAC,Big,1574,89,"22.5%",71,122.6,65,"10.1%",28,0.45,76,"11.5%"
"Gary Harris",25.1,DEN,Wing,1584,38,"14.9%",19,99.6,39,"9.1%",48,0.61,70,"9.7%"
"Joe Harris",28.1,BKN,Wing,1810,51,"16.2%",76,117.3,48,"9.9%",49,0.61,43,"11.9%"
"Tobias Harris",27.2,PHI,Forward,2062,87,"22.5%",51,112.4,82,"14.3%",69,0.63,93,"8.4%"
"Shaquille Harrison",26.0,CHI,Wing,291,59,"17.4%",80,119.0,64,"11.9%",62,0.68,42,"11.9%"
"Josh Hart",24.6,NOP,Forward,1402,39,"14.3%",61,114.1,57,"8.1%",58,0.56,52,"11.5%"
"Isaiah Hartenstein",21.4,HOU,Big,224,22,"13.3%",97,140.3,24,"6.4%",35,0.48,6,"21.1%"
"Jaxson Hayes",19.4,NOP,Big,896,28,"13.6%",96,137.4,42,"7.9%",54,0.58,58,"13.2%"
"Gordon Hayward",29.6,BOS,Forward,1409,84,"20.8%",79,118.8,90,"18.2%",90,0.87,58,"11.1%"
"John Henson",28.8,DET,Big,118,19,"13.0%",100,146.7,28,"6.9%",44,0.54,3,"23.5%"
"John Henson",28.8,CLE,Big,405,54,"16.2%",15,105.2,88,"14.5%",91,0.89,47,"13.9%"
"Juan Hernangomez",24.0,DEN,Forward,370,19,"13.2%",6,88.3,36,"7.1%",49,0.54,36,"12.9%"
"Juan Hernangomez",24.0,MIN,Big,226,58,"16.7%",60,118.3,24,"6.4%",13,0.38,89,"8.7%"
"Willy Hernangomez",25.4,CHA,Big,222,87,"22.0%",27,109.0,79,"12.5%",51,0.57,21,"16.1%"
"Tyler Herro",19.7,MIA,Wing,1211,78,"21.0%",37,106.9,60,"11.3%",32,0.54,50,"11.4%"
"Mario Hezonja",24.6,POR,Forward,613,16,"12.9%",18,97.6,22,"6.4%",42,0.50,27,"13.5%"
"Buddy Hield",26.8,SAC,Wing,1896,93,"25.9%",65,113.9,79,"15.3%",44,0.59,39,"12.2%"
"George Hill",33.4,MIL,Combo,1019,18,"16.9%",100,137.4,49,"19.1%",77,1.13,82,"10.3%"
"Solomon Hill",28.6,MEM,Forward,866,34,"14.0%",40,106.4,78,"13.2%",91,0.95,21,"13.7%"
"Aaron Holiday",23.0,IND,Point,1136,33,"21.6%",28,104.7,11,"19.5%",9,0.90,67,"11.6%"
"Jrue Holiday",29.3,NOP,Combo,1729,89,"27.9%",49,105.7,89,"29.1%",69,1.04,38,"13.0%"
"Justin Holiday",30.5,IND,Wing,1475,15,"11.9%",89,122.1,23,"7.8%",56,0.66,83,"8.0%"
"Rondae Hollis-Jefferson",24.8,TOR,Big,901,61,"17.1%",13,104.0,83,"13.2%",84,0.77,68,"12.1%"
"Richaun Holmes",26.0,SAC,Big,1073,32,"13.8%",95,137.4,9,"5.2%",12,0.38,51,"13.6%"
"Rodney Hood",27.0,POR,Forward,617,22,"13.3%",93,124.9,33,"6.8%",46,0.51,78,"9.9%"
"Al Horford",33.4,PHI,Big,1679,69,"17.9%",10,102.6,94,"18.1%",96,1.01,94,"7.8%"
"Danuel House",26.4,HOU,Forward,1579,12,"12.1%",70,116.4,6,"5.4%",30,0.45,82,"9.4%"
"Dwight Howard",33.8,LAL,Big,1091,21,"13.2%",90,134.2,6,"4.8%",10,0.36,13,"18.2%"
"Kevin Huerter",21.1,ATL,Wing,1540,63,"17.9%",46,109.1,81,"16.1%",87,0.90,40,"12.0%"
"DeAndre Hunter",21.9,ATL,Forward,1799,58,"16.6%",37,105.2,51,"7.8%",33,0.47,43,"12.2%"
"Chandler Hutchison",23.5,CHI,Forward,513,67,"17.9%",31,102.4,52,"7.9%",27,0.44,55,"11.5%"
"Serge Ibaka",30.1,TOR,Big,1259,84,"21.3%",56,117.6,47,"8.2%",15,0.38,35,"14.7%"
"Andre Iguodala",35.7,MIA,Forward,170,10,"12.1%",64,114.7,81,"13.8%",96,1.14,0,"26.5%"
"Ersan Ilyasova",32.4,MIL,Big,834,44,"15.3%",54,117.1,30,"7.1%",31,0.46,86,"9.8%"
"Joe Ingles",32.0,UTA,Forward,1762,66,"17.7%",66,114.9,94,"23.7%",99,1.34,10,"15.8%"
"Brandon Ingram",22.1,NOP,Forward,1722,96,"28.7%",90,121.9,91,"20.3%",75,0.71,33,"13.0%"
