Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"Stephen Jackson",25.5,ATL,Wing,2925,58,"79.0%",0,"0.0%",0,"0.0%",0,""
"Casey Jacobsen",22.6,PHX,Combo,1803,62,"81.7%",0,"0.0%",0,"0.0%",0,""
"Jerome James",27.9,OKC,Big,989,35,"66.0%",0,"0.0%",0,"0.0%",0,""
"LeBron James",18.8,CLE,Wing,3119,31,"75.4%",0,"0.0%",0,"0.0%",0,""
"Mike James",28.3,BOS,Point,1681,54,"80.6%",0,"0.0%",0,"0.0%",0,""
"Mike James",28.3,DET,Point,440,"","89.5%",0,"0.0%",0,"0.0%",0,""
"Antawn Jamison",27.3,DAL,Forward,2337,46,"74.7%",0,"0.0%",0,"0.0%",0,""
"Marko Jaric",24.8,LAC,Wing,1748,22,"73.3%",0,"0.0%",0,"0.0%",0,""
"Chris Jefferies",23.7,CHI,Forward,172,"","64.7%",0,"0.0%",0,"0.0%",0,""
"Richard Jefferson",23.3,BKN,Wing,3120,41,"76.2%",0,"0.0%",0,"0.0%",0,""
"Jared Jeffries",21.9,WAS,Forward,1831,7,"62.3%",0,"0.0%",0,"0.0%",0,""
"Britton Johnsen",24.3,ORL,Wing,274,"","58.3%",0,"0.0%",0,"0.0%",0,""
"Anthony Johnson",29.0,IND,Point,1544,50,"80.4%",0,"0.0%",0,"0.0%",0,""
"Avery Johnson",38.6,GSW,Point,613,6,"67.6%",0,"0.0%",0,"0.0%",0,""
"DerMarr Johnson",23.4,NYK,Wing,245,97,"89.3%",0,"0.0%",0,"0.0%",0,""
"Ervin Johnson",35.8,MIN,Big,956,23,"60.7%",0,"0.0%",0,"0.0%",0,""
"Joe Johnson",22.3,PHX,Wing,3312,30,"75.0%",0,"0.0%",0,"0.0%",0,""
"Linton Johnson",23.3,CHI,Forward,698,5,"57.1%",0,"0.0%",0,"0.0%",0,""
"Dahntay Jones",22.8,MEM,Wing,140,"","44.4%",0,"0.0%",0,"0.0%",0,""
"Damon Jones",27.1,MIL,Point,1981,29,"76.4%",0,"0.0%",0,"0.0%",0,""
"Eddie Jones",32.0,MIA,Wing,2988,80,"83.4%",0,"0.0%",95,"0.0%",0,""
"Fred Jones",24.6,IND,Wing,1394,76,"82.3%",0,"0.0%",0,"0.0%",0,""
"Jumaine Jones",24.7,BOS,Forward,315,"","58.8%",0,"0.0%",0,"0.0%",0,""
"Chris Kaman",21.5,LAC,Big,1825,47,"69.6%",0,"0.0%",0,"0.0%",0,""
"Jason Kapono",22.7,CLE,Wing,373,"","83.3%",0,"0.0%",0,"0.0%",0,""
"Jason Kidd",30.6,BKN,Point,2457,65,"82.7%",0,"0.0%",0,"0.0%",0,""
"Andrei Kirilenko",22.6,UTA,Forward,2902,66,"79.0%",0,"0.0%",0,"0.0%",0,""
"Kerry Kittles",29.3,BKN,Wing,2838,53,"78.7%",0,"0.0%",0,"0.0%",0,""
"Brevin Knight",27.9,MIL,Point,403,25,"75.0%",0,"0.0%",0,"0.0%",0,""
"Brevin Knight",27.9,WAS,Point,589,8,"70.4%",0,"0.0%",0,"0.0%",0,""
"Kyle Korver",22.6,PHI,Wing,805,"","79.2%",0,"0.0%",0,"0.0%",0,""
"Toni Kukoc",35.1,MIL,Forward,1500,37,"73.6%",0,"0.0%",98,"0.1%",0,""
"Christian Laettner",34.2,WAS,Forward,973,68,"79.2%",0,"0.0%",96,"0.0%",0,""
"Raef LaFrentz",27.4,BOS,Big,327,"","76.9%",0,"0.0%",0,"0.0%",0,""
"Maciej Lampe",18.7,PHX,Big,211,"","76.9%",0,"0.0%",0,"0.0%",0,""
"Voshon Lenard",30.4,DEN,Wing,2234,59,"79.1%",0,"0.0%",0,"0.0%",0,""
"Rashard Lewis",24.2,OKC,Forward,2927,59,"76.1%",0,"0.0%",91,"0.0%",0,""
"Raul Lopez",23.5,UTA,Point,1574,85,"86.1%",0,"0.0%",0,"0.0%",0,""
"Tyronn Lue",26.4,ORL,Point,2330,31,"77.1%",0,"0.0%",0,"0.0%",0,""
"George Lynch",33.1,NOP,Wing,1664,10,"65.3%",0,"0.0%",0,"0.0%",0,""
"Mark Madsen",27.7,MIN,Big,1213,6,"49.1%",0,"0.0%",96,"0.0%",0,""
"Corey Maggette",23.9,LAC,Wing,2624,86,"84.8%",0,"0.0%",95,"0.0%",0,""
"Jamaal Magloire",25.4,NOP,Big,2789,70,"75.0%",0,"0.0%",94,"0.0%",0,""
"Karl Malone",40.2,LAL,Big,1378,68,"74.7%",0,"0.0%",0,"0.0%",0,""
"Stephon Marbury",26.6,PHX,Point,1413,44,"79.2%",0,"0.0%",0,"0.0%",0,""
"Stephon Marbury",26.6,NYK,Point,1830,73,"83.5%",0,"0.0%",0,"0.0%",0,""
"Shawn Marion",25.4,PHX,Forward,3202,88,"85.1%",0,"0.0%",0,"0.0%",0,""
"Donyell Marshall",30.4,CHI,Forward,402,"","70.0%",0,"0.0%",0,"0.0%",0,""
"Donyell Marshall",30.4,TOR,Big,2571,65,"74.1%",0,"0.0%",0,"0.0%",0,""
"Darrick Martin",32.6,MIN,Point,155,"","100.0%",0,"0.0%",0,"0.0%",0,""
"Kenyon Martin",25.8,BKN,Big,2252,44,"68.4%",0,"0.0%",88,"0.0%",0,""
"Jamal Mashburn",30.9,NOP,Wing,729,71,"81.2%",0,"0.0%",0,"0.0%",0,""
"Desmond Mason",26.0,MIL,Wing,2515,44,"77.0%",0,"0.0%",0,"0.0%",0,""
"Roger Mason Jr.",23.1,TOR,Combo,264,"","87.5%",0,"0.0%",0,"0.0%",0,""
"Tony Massenburg",36.2,SAC,Big,729,44,"68.3%",0,"0.0%",0,"0.0%",0,""
"Walter McCarty",29.7,BOS,Big,1879,73,"75.6%",0,"0.0%",0,"0.0%",0,""
"Amal McCaskill",30.0,PHI,Big,592,"","69.6%",0,"0.0%",0,"0.0%",0,""
"Antonio McDyess",29.1,NYK,Big,422,15,"57.9%",0,"0.0%",0,"0.0%",0,""
"Antonio McDyess",29.1,PHX,Big,505,8,"51.6%",0,"0.0%",0,"0.0%",0,""
"Tracy McGrady",24.4,ORL,Wing,2681,62,"79.6%",0,"0.0%",0,"0.0%",0,""
"Jeff McInnis",29.0,POR,Combo,1258,38,"75.0%",0,"0.0%",0,"0.0%",0,""
"Jeff McInnis",29.0,CLE,Point,1100,77,"83.6%",0,"0.0%",0,"0.0%",0,""
"Aaron McKie",31.0,PHI,Wing,2101,35,"75.7%",0,"0.0%",0,"0.0%",0,""
"Keith McLeod",23.9,MIN,Point,360,21,"74.3%",0,"0.0%",0,"0.0%",0,""
"Slava Medvedenko",24.5,LAL,Big,1403,75,"75.7%",0,"0.0%",93,"0.0%",0,""
"Ron Mercer",27.4,SAS,Wing,479,"","76.5%",0,"0.0%",0,"0.0%",0,""
"Chris Mihm",24.2,BOS,Big,913,29,"64.2%",0,"0.0%",0,"0.0%",0,""
"Chris Mihm",24.2,CLE,Big,391,47,"69.6%",0,"0.0%",0,"0.0%",0,""
"Darius Miles",22.0,CLE,Forward,883,0,"54.2%",0,"0.0%",0,"0.0%",0,""
"Darius Miles",22.0,POR,Wing,1177,15,"70.0%",0,"0.0%",0,"0.0%",0,""
"Andre Miller",27.6,DEN,Combo,2837,74,"83.2%",0,"0.0%",0,"0.0%",0,""
"Brad Miller",27.5,SAC,Big,2617,84,"78.0%",0,"0.0%",85,"0.0%",0,""
"Mike Miller",23.6,MEM,Wing,1755,20,"71.9%",0,"0.0%",0,"0.0%",0,""
"Oliver Miller",33.5,MIN,Big,475,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Reggie Miller",38.1,IND,Wing,2255,95,"88.5%",0,"0.0%",0,"0.0%",0,""
"Yao Ming",23.1,HOU,Big,2698,92,"81.1%",0,"0.0%",0,"0.0%",0,""
"Cuttino Mobley",28.1,HOU,Wing,3226,69,"80.9%",0,"0.0%",0,"0.0%",0,""
"Nazr Mohammed",26.1,ATL,Big,891,26,"61.6%",0,"0.0%",0,"0.0%",0,""
"Nazr Mohammed",26.1,NYK,Big,667,10,"52.6%",0,"0.0%",0,"0.0%",0,""
"Jerome Moiso",25.3,TOR,Big,393,21,"59.5%",0,"0.0%",0,"0.0%",0,""
"Mikki Moore",27.9,UTA,Big,361,98,"87.1%",0,"0.0%",0,"0.0%",0,""
"Alonzo Mourning",33.7,BKN,Big,215,100,"88.2%",0,"0.0%",99,"0.2%",0,""
"Troy Murphy",23.4,GSW,Big,591,67,"74.4%",0,"0.0%",0,"0.0%",0,""
"Lamond Murray",30.5,TOR,Forward,504,22,"68.6%",0,"0.0%",0,"0.0%",0,""
